Data Medicao,Dia do Mês,Dia da Semana,Mês,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)"
21/12/2004,21,3,12,null,"29,2",null,null,null,55
22/12/2004,22,4,12,null,null,null,null,"56,8",41
23/12/2004,23,5,12,null,"31,4",null,"24,5","58,533",46
24/12/2004,24,6,12,null,"31,2","27,5",23,"66,591",52
25/12/2004,25,7,12,null,"30,9","27,167","24,2","70,417",57
26/12/2004,26,1,12,null,"30,7","27,317","25,5","64,217",46
27/12/2004,27,2,12,null,31,"25,448",20,"69,348",46
28/12/2004,28,3,12,null,"31,5","26,992","22,9","67,25",48
29/12/2004,29,4,12,null,"31,7","27,404","22,7","69,125",49
30/12/2004,30,5,12,null,"31,5","27,783","23,9","66,417",48
31/12/2004,31,6,12,null,31,"26,742","21,2","67,208",47
01/01/2005,1,7,1,null,"30,9","26,617","21,3",67,47
02/01/2005,2,1,1,0,"31,3","27,238","21,6","66,667",48
03/01/2005,3,2,1,0,"31,2","27,817","25,3","64,583",48
04/01/2005,4,3,1,"7,6","29,9","26,721","23,7","73,208",59
05/01/2005,5,4,1,"4,2","30,8","27,125","22,8","65,583",46
06/01/2005,6,5,1,0,"30,7","26,142","20,1","66,667",42
07/01/2005,7,6,1,0,"31,1","25,988","20,4","72,5",48
08/01/2005,8,7,1,5,"31,6","26,667","22,2","75,625",51
09/01/2005,9,1,1,0,"31,8","27,817",24,"69,625",51
10/01/2005,10,2,1,0,"31,1","27,908","25,8","66,417",50
11/01/2005,11,3,1,"0,2","31,1","27,45","23,3","68,25",47
12/01/2005,12,4,1,0,"32,1","26,909","21,5","71,261",49
13/01/2005,13,5,1,0,"32,7","27,692","22,7","72,375",50
14/01/2005,14,6,1,0,"30,5","27,608",25,"72,375",57
15/01/2005,15,7,1,0,"31,4","28,238","26,6","67,75",49
16/01/2005,16,1,1,0,"31,9","27,467","22,1","67,75",47
17/01/2005,17,2,1,"0,4","31,7","27,754","24,1","67,625",47
18/01/2005,18,3,1,"0,4","31,2","27,913","25,3","68,667",51
19/01/2005,19,4,1,0,"31,6","27,963","25,7","68,25",50
20/01/2005,20,5,1,0,"31,8","26,646","21,3","72,958",48
21/01/2005,21,6,1,0,"31,8","27,792","23,2","70,833",51
22/01/2005,22,7,1,0,"32,1","28,188","26,3","70,833",54
23/01/2005,23,1,1,0,"31,8","27,471","23,6",70,48
24/01/2005,24,2,1,0,"32,1","27,8","23,8","69,5",48
25/01/2005,25,3,1,0,"32,3","28,304","24,5","71,917",53
26/01/2005,26,4,1,0,"33,4","28,463","24,2","70,208",45
27/01/2005,27,5,1,0,"32,8","28,713","24,5","67,583",49
28/01/2005,28,6,1,0,"31,7","27,571","21,8","66,583",42
29/01/2005,29,7,1,0,"32,1","27,704",22,"65,75",44
30/01/2005,30,1,1,0,32,"27,375","21,4","64,625",39
31/01/2005,31,2,1,0,"32,2","27,292","21,3","65,875",44
01/02/2005,1,3,2,"0,2","31,4","26,929","22,9","72,625",50
02/02/2005,2,4,2,"0,8","31,8","28,254",25,"70,708",54
03/02/2005,3,5,2,"1,2","31,9","28,204","25,2","68,375",45
04/02/2005,4,6,2,10,"31,2","27,617","23,7","72,833",55
05/02/2005,5,7,2,0,32,"27,529","23,1","72,083",49
06/02/2005,6,1,2,0,"31,9","27,713","23,1","66,208",49
07/02/2005,7,2,2,0,"31,9","26,671","21,5","72,875",45
08/02/2005,8,3,2,"1,8","31,7","26,063","22,8","78,667",47
09/02/2005,9,4,2,23,"29,7","24,888","22,3","83,208",61
10/02/2005,10,5,2,"2,2","31,6","26,246","22,8","78,708",51
11/02/2005,11,6,2,8,30,"26,522","24,4","77,609",60
12/02/2005,12,7,2,"1,2","31,3","26,992","23,4","75,167",55
13/02/2005,13,1,2,"0,4","31,9","27,167","22,6","75,542",52
14/02/2005,14,2,2,0,"32,5","27,933","23,6","73,167",52
15/02/2005,15,3,2,"0,4","32,3","27,683","23,8","75,625",52
16/02/2005,16,4,2,"5,8","29,8","25,825","24,2","85,292",66
17/02/2005,17,5,2,13,31,"27,842","24,6","75,5",60
18/02/2005,18,6,2,0,"31,4","28,496","26,7","67,208",51
19/02/2005,19,7,2,"0,8","31,2","28,025","24,9","69,583",53
20/02/2005,20,1,2,0,"31,9","28,371","25,8","66,5",43
21/02/2005,21,2,2,0,"31,9","27,625","21,9","66,333",45
22/02/2005,22,3,2,0,"33,3","26,921","21,5","74,25",49
23/02/2005,23,4,2,0,"32,2","28,904","27,1","71,208",54
24/02/2005,24,5,2,"1,8","32,4","28,942","26,5","67,042",43
25/02/2005,25,6,2,1,"32,2","28,358","24,8","73,417",53
26/02/2005,26,7,2,"14,8","31,7","28,075","24,4","72,75",54
27/02/2005,27,1,2,0,"31,6","28,517","25,2","68,583",53
28/02/2005,28,2,2,0,"31,9","27,604","22,9","73,042",53
01/03/2005,1,3,3,0,"32,7","28,096","23,1","69,75",48
02/03/2005,2,4,3,0,"32,6","28,429","23,4","69,042",52
03/03/2005,3,5,3,0,"31,4","28,858","27,2","68,167",55
04/03/2005,4,6,3,0,"32,3","29,008","26,8","63,083",45
05/03/2005,5,7,3,0,"31,9","28,5","26,9","67,958",55
06/03/2005,6,1,3,0,"31,8","28,2","22,9","66,667",52
07/03/2005,7,2,3,0,"32,1","27,929","22,2","66,417",48
08/03/2005,8,3,3,0,"32,2","26,729","21,8","71,792",50
09/03/2005,9,4,3,0,"32,4","27,246","21,6","67,792",43
10/03/2005,10,5,3,0,"32,7","27,817","22,7","70,5",45
11/03/2005,11,6,3,"0,2","32,9","28,683",24,"70,917",52
12/03/2005,12,7,3,"0,8","32,4","28,833","26,1","67,208",50
13/03/2005,13,1,3,0,"32,5","28,474","24,5","68,913",53
14/03/2005,14,2,3,"0,2","32,2","28,546","24,6","67,208",46
15/03/2005,15,3,3,0,"32,4","28,713","26,4","65,375",48
16/03/2005,16,4,3,"0,8","32,2","28,3","23,9","68,583",47
17/03/2005,17,5,3,0,"32,4","28,629","24,4","68,167",48
18/03/2005,18,6,3,"1,6","32,4","28,233","24,2","70,958",52
19/03/2005,19,7,3,0,"33,3","28,408","24,2","70,167",46
20/03/2005,20,1,3,"9,4","31,5","27,638","24,2","74,875",53
21/03/2005,21,2,3,3,"31,8","27,658","23,6","72,708",53
22/03/2005,22,3,3,"15,2","31,7","27,171","22,4","74,417",54
23/03/2005,23,4,3,0,"31,9","27,613","22,6","71,958",51
24/03/2005,24,5,3,3,"32,2","27,688","23,7","74,083",52
25/03/2005,25,6,3,0,"31,9","27,946","23,6","71,125",45
26/03/2005,26,7,3,1,"32,7","28,225","24,6",70,49
27/03/2005,27,1,3,"9,8","30,8","26,913","24,1","79,875",60
28/03/2005,28,2,3,1,"29,7","26,454","24,3","82,583",67
29/03/2005,29,3,3,5,"31,5","26,958","23,9","79,625",53
30/03/2005,30,4,3,15,"30,7","26,458","23,9","82,458",63
31/03/2005,31,5,3,"15,2","31,2","27,183","23,6","78,292",58
01/04/2005,1,6,4,"0,2",32,"27,3","23,7","75,833",42
02/04/2005,2,7,4,"16,4","30,5","25,775","23,6","85,583",62
03/04/2005,3,1,4,"18,4","30,8","26,208","23,4","82,25",58
04/04/2005,4,2,4,0,31,"27,725","23,8","71,625",56
05/04/2005,5,3,4,0,"31,1","27,346","22,8","71,5",54
06/04/2005,6,4,4,1,"31,5","28,308","25,2","69,583",53
07/04/2005,7,5,4,0,"30,3","27,692","24,9","74,042",61
08/04/2005,8,6,4,"3,8","30,4","27,567","25,5","71,667",60
09/04/2005,9,7,4,"0,2","29,3","26,2","23,2","76,75",61
10/04/2005,10,1,4,"15,8","30,4","26,317","23,2","79,167",61
11/04/2005,11,2,4,"1,6","30,6","26,429","22,3","77,25",57
12/04/2005,12,3,4,0,"31,4","26,313","21,7","76,958",54
13/04/2005,13,4,4,"0,6","31,1","27,175","22,6","75,708",52
14/04/2005,14,5,4,"2,2","30,7","27,888","24,2","72,458",56
15/04/2005,15,6,4,"30,6","30,6","27,108","23,7","77,833",61
16/04/2005,16,7,4,"11,8","30,2","26,65","23,3","78,208",56
17/04/2005,17,1,4,"6,8","30,4","26,542","23,4","77,375",54
18/04/2005,18,2,4,"0,2","30,4","26,213","22,9","78,917",58
19/04/2005,19,3,4,6,"30,5","26,742","23,7","79,542",61
20/04/2005,20,4,4,0,"30,2","27,446","23,5","74,333",64
21/04/2005,21,5,4,"1,4","30,8","27,875","24,8","70,083",53
22/04/2005,22,6,4,"0,2","30,5","27,271","22,9","70,583",52
23/04/2005,23,7,4,0,"30,7","26,142","22,2","76,75",59
24/04/2005,24,1,4,"6,8","30,8","26,829","22,9","74,125",54
25/04/2005,25,2,4,0,"30,7","26,742","22,9","76,375",56
26/04/2005,26,3,4,0,"31,4","27,208","22,9","75,75",55
27/04/2005,27,4,4,0,32,"27,458",23,"75,375",51
28/04/2005,28,5,4,"22,6","30,9","26,687","22,9","80,609",63
29/04/2005,29,6,4,"26,6","30,7","26,917","23,7","80,792",58
30/04/2005,30,7,4,1,"30,8","26,908","23,7","78,583",59
01/05/2005,1,1,5,0,"31,2","26,225",22,"78,417",54
02/05/2005,2,2,5,0,"31,7","26,646","22,5","78,542",54
03/05/2005,3,3,5,0,"30,7","26,517","22,2","77,083",58
04/05/2005,4,4,5,1,"29,8","25,908","23,3","80,667",65
05/05/2005,5,5,5,0,28,"25,217","22,8","80,875",67
06/05/2005,6,6,5,"4,8","30,4","25,671","22,5","77,958",56
07/05/2005,7,7,5,3,"29,5","25,308","22,9","85,542",65
08/05/2005,8,1,5,"22,2",30,"25,871","22,3","78,875",56
09/05/2005,9,2,5,0,"30,7","25,404","22,1","82,917",55
10/05/2005,10,3,5,"11,4",30,"26,133","22,9","82,875",62
11/05/2005,11,4,5,16,"29,3","25,983",24,"83,833",67
12/05/2005,12,5,5,"47,4","27,1","24,667","22,3","87,167",74
13/05/2005,13,6,5,"5,8","29,8","25,592","22,9","85,625",67
14/05/2005,14,7,5,"19,6","28,8","26,025","23,5","81,083",70
15/05/2005,15,1,5,2,"28,3","25,883","24,3","81,375",71
16/05/2005,16,2,5,37,"28,2","24,671","23,5","88,625",74
17/05/2005,17,3,5,"64,6","29,1","25,333","23,2","84,667",63
18/05/2005,18,4,5,"14,4","29,4","25,4","22,7","82,833",64
19/05/2005,19,5,5,26,"29,8","25,117","22,9","84,375",60
20/05/2005,20,6,5,"10,4","29,4","25,517",23,"83,583",64
21/05/2005,21,7,5,0,"29,5","25,742","23,1",83,66
22/05/2005,22,1,5,"2,2","30,2","25,663","22,7","82,542",62
23/05/2005,23,2,5,"122,2",29,"24,479","21,6","89,167",69
24/05/2005,24,3,5,"3,8",30,"25,175","22,1","84,125",63
25/05/2005,25,4,5,"0,6","28,6","24,95","22,6","84,958",62
26/05/2005,26,5,5,"2,8","30,3","25,571","22,1","83,417",64
27/05/2005,27,6,5,9,"29,6","25,929","23,4","81,583",62
28/05/2005,28,7,5,"10,8","29,4","26,063","23,4","76,667",60
29/05/2005,29,1,5,"4,2","28,5","24,713","22,4","83,375",65
30/05/2005,30,2,5,"68,8","28,3","25,179","22,9","83,5",68
31/05/2005,31,3,5,"5,8","29,2","24,913","21,8","83,875",67
01/06/2005,1,4,6,"98,6","28,8","25,075","22,4","84,75",68
